,npi,nppes_provider_city,nppes_provider_zip,nppes_provider_state,avg_medicare_pay_ratio,payed_to_requested_ratio,Cluster
6,1104111608.0,COLUMBIA,210452169.0,MD,0.9725345718764923,0.2327584724666496,2
10,1184799066.0,RANDALLSTOWN,211335241.0,MD,0.9648195156628757,0.26291310769159804,2
14,1265601611.0,NORTH EAST,219013817.0,MD,0.9651051136376703,0.2618627877924231,2
21,1053781047.0,BALTIMORE,212022102,MD,0.9857529597201772,0.16819959097129447,2
23,1164464186.0,GLEN BURNIE,210615803,MD,0.9521584456375457,0.3056048010111963,2
33,1619234127.0,BALTIMORE,21201,MD,0.9943715992635488,0.10594867898210196,2
35,1518968080.0,FREDERICK,21703,MD,0.9631826970457738,0.2688477117470579,2
39,1184678237.0,ROCKVILLE,208503945,MD,0.9495362976812094,0.3136571685548757,2
43,1376891150.0,SALISBURY,218015422,MD,0.9580177063393426,0.2867090412601342,2
44,1720379258.0,GERMANTOWN,208741115,MD,0.9778773399233261,0.2091791291321381,2
50,1346241833.0,TOWSON,212046808,MD,0.9945323661765643,0.10442879213724743,2
51,1336357185.0,GLEN BURNIE,210615803,MD,0.9832238577544137,0.1824029756953779,2
52,1104803386.0,BALTIMORE,212870005,MD,0.9484924128951395,0.3167998464020398,2
66,1255323630.0,LUTHERVILLE,210934517,MD,0.9612686929691364,0.2756129531016424,2
71,1003995580.0,WESTMINSTER,21157,MD,0.9469595791196931,0.32135269644652736,2
74,1720246853.0,BALTIMORE,212874963,MD,0.995017628063338,0.0996991466523607,2
78,1841393022.0,LEONARDTOWN,206502015,MD,0.9596793657543596,0.2810969849452497,2
84,1447442876.0,GAITHERSBURG,208782675,MD,0.9903683845722724,0.13845744053573805,2
92,1013951946.0,BALTIMORE,212251233,MD,0.9785368570464946,0.20607187921103687,2
94,1427032721.0,CATONSVILLE,21228,MD,0.9683077884941186,0.24975993822394646,2
96,1902343825.0,BALTIMORE,212046808,MD,0.9827566569410865,0.1849036323006655,2
107,1356651426.0,CROFTON,211142403,MD,0.9694790958981414,0.2451739843795062,2
113,1467485284.0,BALTIMORE,212392905,MD,0.9871825616702399,0.15959508117164248,2
115,1194772921.0,SALISBURY,21801,MD,0.9775352601696553,0.21077195051771996,2
123,1952347296.0,BETHESDA,208141422,MD,0.9630179197789839,0.2694373511311275,2
124,1962418764.0,BALTIMORE,212011595,MD,0.9533690153397515,0.3018070916829367,2
133,1326081977.0,BALTIMORE,21215,MD,0.9642377255165397,0.2650388814696631,2
142,1316336449.0,HAGERSTOWN,217405471,MD,0.9693715734609154,0.24559876336396558,2
143,1659313831.0,WILLIAMSPORT,217954086,MD,0.9836408599870997,0.18014066327134157,2
147,1679964688.0,BEL AIR,210144339,MD,0.9525987200888698,0.3042296476102338,2
172,1831435023.0,BALTIMORE,212011544,MD,0.9859308385542052,0.16715376629858472,2
180,1891702239.0,BALTIMORE,212392905,MD,0.9586579492787509,0.28456095354890115,2
